name,primary_muscle,equipment,experience_level,overview,instructions,tips,video_front,video_side,source_url
Barbell Curl,Biceps,Barbell,Intermediate,"While holding the upper arms stationary, curl the weights forward while contracting the biceps as you breathe out. | Continue the movement until your biceps are fully contracted and the bar is at shoulder level. | Hold the contracted position for a second and squeeze the biceps hard. | Slowly bring the weight back down to the starting position.","- Grab the barbell with a shoulder width, underhand grip. | - Flex at the elbows until your forearms press into your bicep (this will look different from person to person). | - Begin to extend your elbows and control the weight during the eccentric part of the exercise. | - Make sure to fully extend your elbows at the end of the rep. | - Repeat until you hit muscular fatigue (1-3 reps left in the tank)","One of the drawbacks with a Barbell Curl is the bar limits Range of Motion somewhat. The bar will hit your legs before you can fully extend your arms. On most exercises, we want the longest Range or Motion possible. To remedy this, | Push your butt back a tad bit. This will give you a little more room to fully extend your elbows. | Watch out for cheating. Using momentum often naturally happens with a Barbell Curl (and most Dumbbell curl variations). There is a move called the Cheat Curl popularized by Arnold himself. But consider that a separate exercise. | Root your feet to the floor and use a mirror to watch your form. If your hips begin moving and you're unable to continue to perform reps without any hip movement, end the set. | A 6-12 rep range works well for this exercise.",https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-curl-front.mp4#t=0.1,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-curl-side.mp4#t=0.1,https://musclewiki.com/barbell/male/biceps/barbell-curl
Barbell Bench Press,Chest,Barbell,Intermediate,Lay flat on the bench with your feet on the ground. With straight arms unrack the bar. | Lower the bar to your mid chest | Raise the bar until you've locked your elbows.,,"Don't be hesitant to ask for a spot if you don't have a gym partner. Most people are happy to help. There's research showing that a lifter will perform better with a spotter. Your muscles won't be any stronger with or without a spotter of course. So why the improvement in performance? The confidence alluded to in the how-to section. Knowing someone is there to get the bar if you fail provides the security to allow you to lift with confidence. | Just make sure you communicate before starting the set. | First, ask them to give you a lift off. I've had many ask me for a spot then say they don't want a lift off. Never quite understood why. In many cases (unless you have very long arms), you will lose your shoulder blade retraction when trying to un-rack the bar. If your arms are mostly extended the only choice you have to un-rack is to protract your shoulder blades. The further you can get your shoulder blades pulled back the better. Retracting the shoulder blades also gives more room in the shoulder joint so it is generally a safer position. | Also, let the spotter know how many reps you're going for so they know what to expect and don't jump in too early. Let them know whether or not you want help completing any reps. For example, ""I'm going for 10 reps, but I might fail around 8. If I can't get all the reps by myself, can you help me get the remaining ones?"" | Although, I suggest once you hit muscular fatigue, you end your set. Once a muscle hits fatigue, doing additional reps does not induce more muscle growth, but does fatigue you more. Too much risk, not enough reward.",https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-bench-press-front.mp4#t=0.1,https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-bench-press-side_KciuhbB.mp4#t=0.1,https://musclewiki.com/barbell/male/chest/barbell-bench-press
Barbell Squat,"Glutes, Quads, Groin",Barbell,Intermediate,"Stand with your feet shoulder-width apart. Maintain the natural arch in your back, squeezing your shoulder blades and raising your chest. | Grip the bar across your shoulders and support it on your upper back. Unwrack the bar by straightening your legs, and take a step back. | Bend your knees as you lower the weight without altering the form of your back until your hips are below your knees. | Raise the bar back to starting position, lift with your legs and exhale at the top.",,,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-squat-side.mp4#t=0.1,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-squat-front.mp4#t=0.1,https://musclewiki.com/barbell/male/glutes/barbell-squat
Barbell Stiff Leg Deadlifts,"Glutes, Hamstrings",Barbell,Intermediate,"Stand with a barbell at your shins with your feet shoulder width apart. | Bend forward at your hips and keep your knees as fully extended as possible. | Grab the barbell and then extend your hips while maintaining a straight back. | From the standing position, lower the weight in a controlled manner. | You can either lower the weight to the floor or before you touch the floor, depending on your mobility.",,,https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-stiff-leg-deadlift-front.mp4#t=0.1,https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-stiff-leg-deadlift-side.mp4#t=0.1,https://musclewiki.com/barbell/male/glutes/barbell-stiff-leg-deadlifts
Barbell Hip Thrust,Glutes,Barbell,Beginner,"Sit on the ground with a bench behind you. Have the barbell over your legs just above your hips. | Lean back against the bench so that your shoulders are resting upon it, stretch your arms out to either side using the bench as support. | Raise the weight by driving through your feet and extending your hips upwards. Support the weight with your shoulders and feet. | Slowly extend as far as you can, and then slowly return to the starting position.",,,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-hip-thrust-front.mp4#t=0.1,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-hip-thrust-side.mp4#t=0.1,https://musclewiki.com/barbell/male/glutes/barbell-hip-thrust
Barbell Behind The Back Wrist Curl,Forearms,Barbell,Intermediate,Stand straight and hold the barbell behind you using a pronated grip with your hands and feet shoulder-width apart. | Slowly curl your wrists in a semi-circular motion upwards. | Hold the barbell at the apex of the motion and then slowly lower the barbell back down to starting position.,,,https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-behind-the-back-wrist-curl-front.mp4#t=0.1,https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-behind-the-back-wrist-curl-side.mp4#t=0.1,https://musclewiki.com/barbell/male/forearms/barbell-behind-the-back-wrist-curl
Barbell Deadlift,"Traps (mid-back), Lower back, Glutes",Barbell,Intermediate,"Stand with your mid-foot under the bar and grip the bar with your hands, about a shoulder width apart. | Bend your knees, then lift the bar by straightening your back. It is important to keep your back straight. | Stand to your full height and hold. | Lower the bar to the floor by bending your knees and keeping your back straight.","#1. Your stance | Conventional Deadlift Foot Placement: You can start with your feet shoulder-width apart. If you’re not sure where this is, try this: Jump in the air 2-3 times. Where your feet land naturally is the proper stance for the conventional deadlift. Your toes should point forward or outward slightly. | Set up so that the bar is about an inch to an inch-and-a-half from your shins. When you look down at the bar, it should be positioned right about the middle of your foot, blocking the laces of your shoes from view. | #2. Your grip | Figuring out where to place your hands is quite simple. Just take a shoulder-width grip. | Executing the Deadlift | You really only need to think about two things when you pull the bar: | During a conventional deadlift, if you are thinking about “pushing the floor away,” it will help you generate tension throughout your hips and knees. | Keeping your core, arms, and lats engaged will help you avoid rounding your spine, which is dangerous. DO NOT ROUND YOUR SPINE. | When you reach the top of the rep, known as lockout, be careful | Some people seem to think that “locking out” means “leaning back,” but nothing could be further from the truth. Doing that hyperextends your knees and spine, which can compress those all-important spinal discs between your vertebrae. DO NOT HYPEREXTEND YOUR SPINE. | The goal, really, is to just stand up.","My Deadlift, Not Yours | The deadlift involves many muscles, all of your limbs, and every load-bearing joint (ankles, knees, hips and shoulders) in your body. There are a lot of variables at play. So having hard-and-fast rules about deadlift form is nearly impossible. | Your body is your body. That seems like an obvious fact, yet it’s one that’s often overlooked when it comes to form. | For example, two people who are the same height may have totally different torso and femur lengths. | A person who has a short torso and long femurs will have a more hip-dominant pull, meaning that their butt will be higher in the air and most of the force will come from their glutes and hamstrings. Meanwhile, a person who has a long torso and short femurs would be able to get lower and involve their quads a bit more.",https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-deadlift-front.mp4#t=0.1,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-deadlift-side.mp4#t=0.1,https://musclewiki.com/barbell/male/traps-middle/barbell-deadlift
Barbell Laying Triceps Extensions,Triceps,Barbell,Intermediate,Lay on a flat bench while holding a barbell with a shoulder-width grip. | Fully extend your elbows until the barbell is directly over your chest. | Begin to flex your elbows and allow the barbell to nearly touch your forehead. | Extend your elbows back to the starting position and repeat.,,,https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-laying-tricep-extensions-front.mp4#t=0.1,https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-laying-tricep-extensions-side.mp4#t=0.1,https://musclewiki.com/barbell/male/triceps/barbell-laying-triceps-extensions
Barbell Bent Over Row,"Biceps, Forearms, Lats",Barbell,Intermediate,Grab a barbell with a shoulder width pronated or supinated grip. | Bend forward at your hips while maintaining a flat back. | Pull the weight toward your upper abdomen. | Lower the weight in a controlled manner and repeat.,,,https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-bent-over-row-front.mp4#t=0.1,https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-bent-over-row-side.mp4#t=0.1,https://musclewiki.com/barbell/male/biceps/barbell-bent-over-row
Barbell Wrist Curl,Forearms,Barbell,Novice,Grab a straight bar with a supinated (underhand) grip. | Kneel down next to a flat bench and place your forearms on the bench with your wrists just off the bench. | Let the barbell pull down on your wrists until they are extended. | Curl the barbell until your wrists are fully flexed. | Lower in a controlled manner and repeat.,,,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-wrist-curl-front.mp4#t=0.1,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-wrist-curl-side.mp4#t=0.1,https://musclewiki.com/barbell/male/forearms/barbell-wrist-curl
Barbell Incline Bench Press,"Chest, Front Shoulders",Barbell,Intermediate,Position the bench between 30 and 45 degrees. | Lay flat on the bench with your feet on the ground. With straight arms unrack the bar. | Lower the bar to your mid chest | Raise the bar (slowly and controlled) until you've locked your elbows.,,,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-incline-bench-press-front.mp4#t=0.1,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-incline-bench-press-side.mp4#t=0.1,https://musclewiki.com/barbell/male/anterior-deltoid/barbell-incline-bench-press
Barbell Roll Outs,Abdominals,Barbell,Advanced,"Hold the Barbell with both hands and kneel on the floor with your feet up | Slowly roll the Barbell straight forward, stretching your body into a straight position. | After a pause at the stretched position, start pulling yourself back to the starting position. This should be a slow and controlled movement.",,,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-roll-outs-front.mp4#t=0.1,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-roll-outs-side.mp4#t=0.1,https://musclewiki.com/barbell/male/abdominals/barbell-roll-outs
Barbell Calf Raises,Calves,Barbell,Intermediate,"Place the bar on your back | Start with feet flat on the ground | Extend your heels upwards while keeping your knees stationary, and pause at the contracted position. | Slowly return to the starting position. Repeat.",,,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-calf-raises-side.mp4#t=0.1,https://media.musclewiki.com/media/uploads/videos/branded/male-Barbell-barbell-calf-raises-front.mp4#t=0.1,https://musclewiki.com/barbell/male/calves/barbell-calf-raises
